Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 65.0.3325.181,,2018-05-14 12:18:14,2018-05-14 12:18:34,19.996s,PASSED
,,,,,,
Test Cases/Test 1 by Tom,Chrome 65.0.3325.181,,2018-05-14 12:18:14,2018-05-14 12:18:25,10.800s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-05-14 12:18:14,2018-05-14 12:18:17,2.710s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-05-14 12:18:17,2018-05-14 12:18:24,7.155s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-05-14 12:18:24,2018-05-14 12:18:25,0.713s,PASSED
,,,,,,
Test Cases/Test 2 by Kim,Chrome 65.0.3325.181,,2018-05-14 12:18:25,2018-05-14 12:18:34,8.901s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-05-14 12:18:25,2018-05-14 12:18:33,8.081s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-05-14 12:18:33,2018-05-14 12:18:34,0.710s,PASSED
